Files already downloaded and verified
Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
178	0.050000	0.335915	0.765394	89.432000	79.500000	03/06 05:29:49
179	0.050000	0.349718	0.778701	88.876000	79.480000	03/06 05:33:45
180	0.050000	0.339303	0.787124	89.272000	79.030000	03/06 05:37:41
181	0.050000	0.337207	0.800849	89.360000	79.530000	03/06 05:41:37
182	0.050000	0.350382	0.808349	88.744000	78.390000	03/06 05:45:34
183	0.050000	0.345222	0.783299	89.130000	79.030000	03/06 05:49:30
184	0.050000	0.348925	0.754323	88.892000	79.610000	03/06 05:53:26
185	0.050000	0.340567	0.782383	89.156000	79.780000	03/06 05:57:23
186	0.050000	0.352765	0.777756	88.916000	79.470000	03/06 06:01:18
187	0.050000	0.363118	0.849958	88.610000	77.690000	03/06 06:05:15
188	0.050000	0.338819	0.828747	89.308000	78.630000	03/06 06:09:12
189	0.050000	0.346890	0.813790	89.090000	78.920000	03/06 06:13:08
190	0.050000	0.350745	0.794177	88.878000	79.210000	03/06 06:17:04
191	0.050000	0.336799	0.855204	89.454000	78.070000	03/06 06:21:00
192	0.050000	0.336920	0.812432	89.276000	78.710000	03/06 06:24:57
193	0.050000	0.357079	0.815328	88.638000	78.570000	03/06 06:28:53
194	0.050000	0.349406	0.794363	89.088000	79.120000	03/06 06:32:49
195	0.050000	0.349817	0.806739	89.030000	78.860000	03/06 06:36:46
196	0.050000	0.337653	0.841606	89.344000	78.800000	03/06 06:40:41
197	0.050000	0.347820	0.786763	89.004000	79.560000	03/06 06:44:37
198	0.050000	0.364926	0.785058	88.456000	78.960000	03/06 06:48:33
199	0.050000	0.377322	0.820202	88.216000	78.370000	03/06 06:52:29
200	0.050000	0.370474	0.846827	88.320000	78.440000	03/06 06:56:25
201	0.050000	0.348247	0.813566	89.128000	78.850000	03/06 07:00:21
202	0.050000	0.351719	0.858623	88.958000	78.150000	03/06 07:04:17
203	0.050000	0.329156	0.796648	89.598000	79.630000	03/06 07:08:12
204	0.050000	0.330381	0.839422	89.688000	78.890000	03/06 07:12:08
205	0.050000	0.348318	0.869874	89.022000	77.620000	03/06 07:16:05
206	0.050000	0.340707	0.784884	89.288000	79.330000	03/06 07:20:02
207	0.050000	0.342379	0.793380	89.240000	78.780000	03/06 07:23:58
208	0.050000	0.325133	0.802317	89.812000	79.050000	03/06 07:27:55
209	0.050000	0.343477	0.866428	89.326000	77.900000	03/06 07:31:52
210	0.050000	0.348465	0.795792	89.034000	79.390000	03/06 07:35:49
211	0.050000	0.356039	0.818887	88.790000	78.410000	03/06 07:39:45
212	0.050000	0.353004	0.836482	88.874000	78.850000	03/06 07:43:42
213	0.050000	0.344691	0.814118	89.228000	79.020000	03/06 07:47:38
214	0.050000	0.330994	0.805763	89.504000	79.260000	03/06 07:51:34
215	0.050000	0.347700	0.809803	89.148000	79.030000	03/06 07:55:31
216	0.050000	0.336573	0.833233	89.496000	78.680000	03/06 07:59:27
217	0.050000	0.330051	0.821350	89.510000	78.630000	03/06 08:03:24
218	0.050000	0.317657	0.851534	90.106000	78.360000	03/06 08:07:20
219	0.050000	0.328076	0.838237	89.698000	78.640000	03/06 08:11:16
220	0.050000	0.317997	0.829605	90.044000	78.740000	03/06 08:15:13
221	0.050000	0.332616	0.784502	89.628000	79.800000	03/06 08:19:09
222	0.050000	0.333361	0.839588	89.496000	78.360000	03/06 08:23:05
223	0.050000	0.343556	0.833317	89.104000	78.860000	03/06 08:27:01
